corpus,subtype,filename,raw_chars,cleaned_chars,chars_removed,pct_removed,raw_lines,cleaned_lines,step_fix_encoding_artifacts_chars,step_remove_speech_header_chars,step_remove_speech_footnotes_chars,step_remove_figure_references_chars,step_remove_orphaned_footnote_numbers_chars,step_normalize_whitespace_chars,step_remove_fomc_statement_header_chars,step_remove_fomc_voting_records_chars,step_remove_fomc_attendee_list_chars,step_remove_fomc_duplicate_statement_in_minutes_chars,step_remove_fomc_policy_directive_chars
fed_speeches,speech,2023-10-27_2a77d35a68f0.txt,6423,6014,409,6.368,31,21,0,148.0,261.0,0.0,0.0,0,,,,,
fed_speeches,speech,2023-11-06_7506609488c4.txt,17459,16016,1443,8.265,79,57,-11,86.0,1368.0,0.0,0.0,0,,,,,
fed_speeches,speech,2023-11-07_0dc37ac1f9cc.txt,2653,2070,583,21.975,19,7,0,184.0,399.0,0.0,0.0,0,,,,,
fed_speeches,speech,2023-11-07_a839946ee0a6.txt,31690,30437,1253,3.954,113,95,-38,110.0,1181.0,0.0,0.0,0,,,,,
fed_speeches,speech,2023-11-08_95341d9feb3c.txt,5438,5199,239,4.395,31,25,-2,241.0,0.0,0.0,0.0,0,,,,,
fed_speeches,speech,2023-11-08_dda61a23cd8b.txt,9912,9044,868,8.757,49,35,-1,249.0,620.0,0.0,0.0,0,,,,,
fed_speeches,speech,2023-11-08_df5d4e3c89dd.txt,16774,15170,1604,9.562,71,51,-5,91.0,1518.0,0.0,0.0,0,,,,,
fed_speeches,speech,2023-11-09_25a46af54180.txt,14816,10222,4594,31.007,55,29,0,226.0,4320.0,48.0,0.0,0,,,,,
fed_speeches,speech,2023-11-09_362166bcf92f.txt,37017,35490,1527,4.125,129,111,-34,129.0,1432.0,0.0,0.0,0,,,,,
fed_speeches,speech,2023-11-13_aefc5728f969.txt,7814,6904,910,11.646,51,39,-1,184.0,727.0,0.0,0.0,0,,,,,
fed_speeches,speech,2023-11-14_a24eeb9c0b50.txt,23522,21664,1858,7.899,125,103,-11,268.0,1601.0,0.0,0.0,0,,,,,
fed_speeches,speech,2023-11-16_8f3b8d96ec51.txt,18859,15953,2906,15.409,93,59,-2,124.0,2784.0,0.0,0.0,0,,,,,
fed_speeches,speech,2023-11-16_b769960cd0ca.txt,17857,16974,883,4.945,81,65,-2,242.0,643.0,0.0,0.0,0,,,,,
fed_speeches,speech,2023-11-28_234502132f83.txt,8992,8499,493,5.483,37,27,-4,203.0,294.0,0.0,0.0,0,,,,,
fed_speeches,speech,2023-11-28_356995329ad8.txt,14724,13446,1278,8.68,57,39,-5,107.0,1176.0,0.0,0.0,0,,,,,
fed_speeches,speech,2023-11-28_381dd92585dc.txt,25750,20404,5346,20.761,89,53,-10,167.0,5189.0,0.0,0.0,0,,,,,
fed_speeches,speech,2023-12-01_2889d976200a.txt,24293,20565,3728,15.346,75,47,-7,124.0,3611.0,0.0,0.0,0,,,,,
fed_speeches,speech,2023-12-01_ba4f0344513c.txt,10222,7603,2619,25.621,33,17,0,100.0,2519.0,0.0,0.0,0,,,,,
fed_speeches,speech,2023-12-05_3fde61f41048.txt,14915,11519,3396,22.769,87,53,-2,115.0,3283.0,0.0,0.0,0,,,,,
fed_speeches,speech,2024-01-08_d5071819c88e.txt,25630,24122,1508,5.884,89,63,-10,150.0,1368.0,0.0,0.0,0,,,,,
fed_speeches,speech,2024-01-16_fc9048c1151e.txt,17146,15731,1415,8.253,61,47,-4,98.0,1321.0,0.0,0.0,0,,,,,
