date,NFCI,ANFCI,Risk,Credit,Leverage,Nonfinancial_Leverage
2012-01-06,-0.190931159763687,-0.163136224053786,-0.106443450969283,0.0293228669411315,0.361790254578702,-1.48109886837915
2012-01-13,-0.237028045837583,-0.215263278736676,-0.146003912405674,-0.0044878184759994,0.315383607005099,-1.4834073749258
2012-01-20,-0.282876561136303,-0.277875522281391,-0.186011150736727,-0.0384571802861244,0.272349785178958,-1.48494607568849
2012-01-27,-0.324374177761376,-0.339163039950656,-0.223670552672777,-0.0696915817638549,0.233570218402261,-1.48565495038443
2012-02-03,-0.356910967845727,-0.38291242049796,-0.256041312340471,-0.0952364742265752,0.199393088764236,-1.48548766323657
2012-02-10,-0.380727813771336,-0.40478616425357,-0.282447224117958,-0.115041302353807,0.170668148163486,-1.48441734711502
2012-02-17,-0.396393058882035,-0.406944312521765,-0.302581668373901,-0.12922680619424,0.147508420142467,-1.48243831401796
2012-02-24,-0.408444386239642,-0.406518548643896,-0.317577231986813,-0.140474847691736,0.130114024985888,-1.47956828953286
2012-03-02,-0.419360758312906,-0.415529812616536,-0.329011431199701,-0.149755793549426,0.118577322324011,-1.47585150925445
2012-03-09,-0.427526874095939,-0.432019866070967,-0.33657068755033,-0.156607769161901,0.11319624894694,-1.47135798129783
2012-03-16,-0.434966318977596,-0.454280414691727,-0.340797277506022,-0.16217928138323,0.11379755130458,-1.46618482019949
2012-03-23,-0.438577901476985,-0.467233933165475,-0.341676173990555,-0.164273181666487,0.120517169978814,-1.46045557041403
2012-03-30,-0.436485898713717,-0.460953545035866,-0.339624453739217,-0.160809628914643,0.132881015780788,-1.45431353281507
2012-04-06,-0.428889295956898,-0.439349028406229,-0.334432732431788,-0.151762773353856,0.150075640466542,-1.4479088808425
2012-04-13,-0.416140522951319,-0.410709396639473,-0.327140124976025,-0.136162449148675,0.170805334750265,-1.44142067180185
2012-04-20,-0.400486131237414,-0.385519359019606,-0.318748483300463,-0.114898329794029,0.193408678851839,-1.43499953957825
2012-04-27,-0.379502529604886,-0.362754165114132,-0.30726903020546,-0.0881770447385355,0.216279261371284,-1.42878886198525
2012-05-04,-0.353519455191228,-0.337632120728019,-0.292805717941334,-0.0573884804206058,0.237981750820037,-1.4229129740329
