Date,Time UTC,Event,BTC Close,BTC Log Return Intraday,BTC Log Return 1d,BTC Log Return 2d,BTC Log Return 3d,BTC Log Return 5d,BTC Log Return 7d,BTC Log Return 9d,SPX Close,SPX Log Return Intraday,SPX Log Return 1d,SPX Log Return 2d,SPX Log Return 3d,SPX Log Return 5d,SPX Log Return 7d,SPX Log Return 9d,ZT Close,ZT Log Return Intraday,ZT Log Return 1d,ZT Log Return 2d,ZT Log Return 3d,ZT Log Return 5d,ZT Log Return 7d,ZT Log Return 9d,NFCI,mps,MPS_ORTH,MP_median,CBI_median,net_sentiment,net_sentiment_households,net_sentiment_firms,net_sentiment_financial_sector,net_sentiment_government,net_sentiment_central_bank
2012-01-25,19:30,FOMC Press Conference,6.31,-0.0373293730940387,-0.1747169574087352,-0.1079082877366249,-0.2881911078407312,-0.1602762732539409,-0.1079082877366249,-0.0389154162496735,1326.06005859375,0.0088318774798748,0.0030613691918857,0.0014672216465948,0.0014672216465948,-0.0010580874397505,0.0073450989064374,0.0229393726852121,110.3671875,0.0004248088424123,0.0006371456093211,0.0007079145134942,0.0007079145134942,0.0007079145134942,0.0004248088424123,7.081400704022754e-05,-0.282876561136303,-0.0116295195744413,-0.0349327781752003,-0.02694354,0.00891939,-0.303030303030303,-0.3214285714285714,-0.1578947368421053,-0.3061224489795918,-0.8181818181818181,-0.2713178294573644
2012-04-25,18:30,FOMC Press Conference,5.14,0.0117418178766831,-0.0198813705538289,-0.0079051795071132,-0.0340373197839612,-0.0158733491562901,-0.0039447782910164,-0.0019704439872987,1390.68994140625,0.0134502943791637,0.0201082465126715,0.0225196604416944,0.0225196604416944,0.0186285981663249,0.0217712283093503,-0.0021961185157467,110.25,7.086418881183129e-05,0.0002834266298289,0.0002125775030147,0.0002125775030147,0.0002834266298289,0.0001417233562462,0.0003542707374001,-0.400486131237414,0.0129820340283114,0.0014470356183188,0.00098177,-0.00098177,-0.2920353982300885,-0.3333333333333333,-0.3333333333333333,-0.4090909090909091,-0.6000000000000001,-0.1775700934579439
2012-06-20,18:30,FOMC Press Conference,6.64,0.0368139731227161,0.0368139731227161,0.0292553581487895,0.0077821404420549,-0.0221178052536191,0.0139645403503723,0.0185763855729352,1355.68994140625,-0.0017320059553884,-0.0242452141387642,-0.0170962249042598,-0.0170962249042598,-0.0331797272948629,-0.0194735777142251,0.0030291876749284,110.1484375,-0.0002836678268791,-0.0002127433259806,-0.0002836678268791,-0.0002836678268791,-0.0002127433259806,-0.0002127433259806,-0.0003545973584193,-0.241833738288738,0.0286596049940499,0.0341965642762828,0.009776,0.00654326,-0.2237442922374429,0.0,-0.3999999999999999,-0.4181818181818182,-0.3103448275862068,-0.1139240506329113
2012-09-13,18:30,FOMC Press Conference,11.3,0.014260491219157,0.0318048008700663,0.043045732031435,0.0533110060910298,0.0668361488680707,0.0974296882198582,0.0718612850707437,1459.989990234375,0.0161781721538442,0.0201293074466525,0.0201293074466525,0.0201293074466525,0.0157191294542695,0.0163631012058223,0.0162877793501052,110.2578125,0.0001417233562462,-0.0002126227018181,-0.0002126227018181,-0.0002126227018181,-0.0002126227018181,-0.0003543962896361,-0.0003543962896361,-0.48083032633903,0.0239675170792569,-0.006768331510817,-0.0282545,0.04402613,-0.0703125,0.2093023255813953,0.0,-0.2432432432432432,-0.7142857142857142,-0.1752577319587629
2012-12-12,19:30,FOMC Press Conference,13.49,0.0074405105165833,0.0096619109117368,0.0089219922690263,-0.0007471050029987,-0.014291330110756,0.0007465472537845,-0.014291330110756,1428.47998046875,0.0004481393339567,-0.0058933506430516,-0.0100373263225431,-0.0100373263225431,0.0017633617152678,0.0055664018192223,0.0016165620626461,110.25,-0.000141713314203,-0.000141713314203,0.000141693234385,0.000141693234385,0.0,-0.0004960844862731,-0.0003543209476178,-0.565429746210799,0.0040683896939853,-0.0120752441515516,-0.02505452,0.02148958,-0.3868194842406876,-0.3698630136986301,-0.1304347826086956,-0.4324324324324324,-0.6923076923076923,-0.3285714285714285
2013-03-20,18:30,FOMC Press Conference,64.2,0.0766993931259638,0.1945516544928039,0.1617618316698129,0.0720155438135375,0.2336498881279687,0.4066976703125016,0.4145058527603135,1558.7099609375,0.0066751638158179,-0.0016417599401872,0.0055068838631126,0.0055068838631126,0.0021612545621654,0.0093276947042357,0.013376158100427,110.234375,-7.086921090097561e-05,-0.0002126227018181,-0.0001417434446029,-0.0001417434446029,-7.086921090097561e-05,-7.086921090097561e-05,7.086418881183129e-05,-0.657443108403939,0.0116599113736397,-0.0123013615650071,-0.00553648,0.00737555,-0.3639344262295081,-0.064516129032258,-0.0666666666666666,-0.4583333333333333,-0.7333333333333334,-0.4901960784313726
2013-06-19,18:30,FOMC Press Conference,105.24,0.0071520831260723,-0.0181559791719016,-0.026081268929597,-0.0439211870579281,-0.0492352818816969,-0.0562974581259836,-0.1497262459549045,1628.9300537109375,-0.0139603471088028,-0.039288771501101,-0.0366225524475755,-0.0366225524475755,-0.0488419214072024,-0.0298446751817101,-0.0279627728618814,110.1953125,-0.0005670139779102,-0.0009924855486458,-0.0017020073607303,-0.0017020073607303,-0.0021279622159566,-0.0017020073607303,-0.0014890979528787,-0.654032131397583,0.0108561110503651,-2.811761798215441e-05,0.00614461,-0.00138543,-0.1971830985915492,0.2888888888888889,-0.1333333333333333,-0.1506849315068493,-0.4545454545454546,-0.3919999999999999
2013-09-18,18:30,FOMC Press Conference,127.0,0.0006301197435965,-0.021824840778248,-0.0321045864881054,-0.0282068958045523,-0.0343852749410601,-0.0293421537921953,0.0002363414356926,1725.52001953125,0.0115294372037929,0.0096847830553113,0.0024417290924638,0.0024417290924638,-0.0022890298494872,-0.0076327765015968,-0.0082355323170424,110.1875,0.0009221493826014,0.0008512449971353,0.0008512449971353,0.0008512449971353,0.0007094211421254,0.0009221493826014,0.0010639430730196,-0.666412664292484,-0.0039200617224852,-0.0096433872690477,-0.06719709,0.0520097,-0.2517985611510791,-0.1212121212121211,-0.0588235294117647,-0.2363636363636363,-0.6190476190476191,-0.2941176470588235
2013-12-18,19:30,FOMC Press Conference,520.0,-0.2608838792970568,0.0147061473896954,-0.1012537337051729,-0.1261008664298867,-0.030443934596376,0.0059231641182179,0.0660373972613071,1810.6500244140625,0.0162526794213111,0.0156725819929171,0.020479737433608,0.020479737433608,0.0257837663198141,0.0286952706241201,0.0330929342346449,110.234375,0.0001417534909171,-0.0003544716637023,-0.0004253810769567,-0.0004253810769567,-0.0002835672782364,-0.0003544716637023,-0.0003544716637023,-0.777714465821474,0.0118551071128668,-0.0139583064908346,-0.04424307,0.04559465,-0.1704545454545454,0.0,0.1333333333333333,-0.2424242424242424,-0.2258064516129032,-0.3037037037037037
2014-03-19,18:30,FOMC Press Conference,611.2,-0.004310070017099,-0.0430413741547008,-0.0740979470408139,-0.0823600546223547,-0.0464315832844196,-0.0541405329631163,-0.2011142680573624,1860.77001953125,-0.0061505250967345,-0.0001281910092129,-0.0030651711258215,-0.0030651711258215,-0.0079417520851848,-0.0105724181912385,-0.007844820291806,110.0078125,-0.0010646982586491,-0.0011357184639273,-0.0009936830968822,-0.0009936830968822,-0.0012777740078838,-0.0005676979999186,-0.000496718122684,-0.780880060240914,0.0254877159230359,0.0043232551993392,0.02016519,-0.00405018,-0.5021834061135371,-0.3513513513513513,-0.7777777777777777,-0.368421052631579,-1.0,-0.5535714285714286
